timestamp,src_ip,dst_ip,length,protocol_type,syn_flag,ack_flag,icmp_payload_size,dst_port,is_http_traffic,is_partial_http
1769106925.109313,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.109497,127.0.0.1,127.0.0.1,52,1,1,1,0,58431,0,0
1769106925.109557,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.10985,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.109961,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.109967,127.0.0.1,127.0.0.1,40,1,0,1,0,58409,0,0
1769106925.110054,127.0.0.1,127.0.0.1,40,1,0,1,0,58405,0,0
1769106925.110307,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.110332,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.110432,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.110523,127.0.0.1,127.0.0.1,52,1,1,1,0,58432,0,0
1769106925.110526,127.0.0.1,127.0.0.1,52,1,1,1,0,58433,0,0
1769106925.110587,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.110589,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.110612,127.0.0.1,127.0.0.1,52,1,1,1,0,58434,0,0
1769106925.110679,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.111265,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.11132,127.0.0.1,127.0.0.1,40,1,0,1,0,58409,0,0
1769106925.111345,127.0.0.1,127.0.0.1,40,1,0,1,0,58427,0,0
1769106925.111393,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.11154,127.0.0.1,127.0.0.1,40,1,0,1,0,58405,0,0
1769106925.111605,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.11173,127.0.0.1,127.0.0.1,40,1,0,1,0,58427,0,0
1769106925.111869,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.112244,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.112376,127.0.0.1,127.0.0.1,40,1,0,1,0,58428,0,0
1769106925.112621,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.112693,127.0.0.1,127.0.0.1,40,1,0,1,0,58435,0,0
1769106925.11276,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.112797,127.0.0.1,127.0.0.1,40,1,0,1,0,58436,0,0
1769106925.112944,127.0.0.1,127.0.0.1,40,1,0,1,0,58428,0,0
1769106925.113011,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.117209,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.117323,127.0.0.1,127.0.0.1,40,1,0,1,0,58429,0,0
1769106925.117731,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.117914,127.0.0.1,127.0.0.1,52,1,1,1,0,58437,0,0
1769106925.117978,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.118473,127.0.0.1,127.0.0.1,40,1,0,1,0,58429,0,0
1769106925.118564,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.119734,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.119851,127.0.0.1,127.0.0.1,40,1,0,1,0,58430,0,0
1769106925.120119,127.0.0.1,127.0.0.1,40,1,0,1,0,58430,0,0
1769106925.120204,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.120341,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.120414,127.0.0.1,127.0.0.1,40,1,0,1,0,58431,0,0
1769106925.12078,127.0.0.1,127.0.0.1,40,1,0,1,0,58431,0,0
1769106925.12079,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.120911,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.120982,127.0.0.1,127.0.0.1,52,1,1,1,0,58438,0,0
1769106925.121053,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.121605,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.121723,127.0.0.1,127.0.0.1,40,1,0,1,0,58432,0,0
1769106925.121739,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.121815,127.0.0.1,127.0.0.1,40,1,0,1,0,58434,0,0
1769106925.12182,127.0.0.1,127.0.0.1,40,1,0,1,0,58432,0,0
1769106925.121926,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.122025,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.122042,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.122086,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.122153,127.0.0.1,127.0.0.1,40,1,0,1,0,58433,0,0
1769106925.122221,127.0.0.1,127.0.0.1,52,1,1,1,0,58440,0,0
1769106925.122253,127.0.0.1,127.0.0.1,52,1,1,1,0,58439,0,0
1769106925.122253,127.0.0.1,127.0.0.1,40,1,0,1,0,58433,0,0
1769106925.122278,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.122303,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.122367,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.122453,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.122594,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.122608,127.0.0.1,127.0.0.1,52,1,1,1,0,58441,0,0
1769106925.12266,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.122745,127.0.0.1,127.0.0.1,52,1,1,1,0,58442,0,0
1769106925.122789,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.123383,127.0.0.1,127.0.0.1,40,1,0,1,0,58434,0,0
1769106925.123471,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.128832,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.128909,127.0.0.1,127.0.0.1,40,1,0,1,0,58437,0,0
1769106925.129239,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.129239,127.0.0.1,127.0.0.1,40,1,0,1,0,58437,0,0
1769106925.129329,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.129432,127.0.0.1,127.0.0.1,52,1,1,1,0,58443,0,0
1769106925.129495,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.133228,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.133334,127.0.0.1,127.0.0.1,40,1,0,1,0,58440,0,0
1769106925.133531,127.0.0.1,127.0.0.1,40,1,0,1,0,58440,0,0
1769106925.133597,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.133798,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.134008,127.0.0.1,127.0.0.1,52,1,1,1,0,58444,0,0
1769106925.134066,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.134343,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.134417,127.0.0.1,127.0.0.1,40,1,0,1,0,58442,0,0
1769106925.134795,127.0.0.1,127.0.0.1,40,1,0,1,0,58442,0,0
1769106925.134877,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.134973,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.135031,127.0.0.1,127.0.0.1,40,1,0,1,0,58439,0,0
1769106925.135512,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.135542,127.0.0.1,127.0.0.1,40,1,0,1,0,58439,0,0
1769106925.135585,127.0.0.1,127.0.0.1,40,1,0,1,0,58441,0,0
1769106925.135651,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.135667,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.135782,127.0.0.1,127.0.0.1,40,1,0,1,0,58441,0,0
1769106925.135842,127.0.0.1,127.0.0.1,52,1,1,1,0,58446,0,0
1769106925.135873,127.0.0.1,127.0.0.1,40,1,0,1,0,8000,0,0
1769106925.135883,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
1769106925.135901,127.0.0.1,127.0.0.1,52,1,1,0,0,8000,0,0
