timestamp,src_ip,dst_ip,length,protocol_type,syn_flag,ack_flag,icmp_payload_size,dst_port,is_http_traffic,is_partial_http
1769105315.981509,127.0.0.1,127.0.0.1,540,2,0,0,0,49479,0,0
1769105315.98154,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.984425,127.0.0.1,127.0.0.1,540,2,0,0,0,12525,0,0
1769105315.984443,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.987226,127.0.0.1,127.0.0.1,540,2,0,0,0,1139,0,0
1769105315.987247,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.989934,127.0.0.1,127.0.0.1,540,2,0,0,0,59226,0,0
1769105315.989989,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.992997,127.0.0.1,127.0.0.1,540,2,0,0,0,63003,0,0
1769105315.993032,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.995235,127.0.0.1,127.0.0.1,540,2,0,0,0,48171,0,0
1769105315.995251,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105315.997841,127.0.0.1,127.0.0.1,540,2,0,0,0,50524,0,0
1769105315.997861,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105316.000389,127.0.0.1,127.0.0.1,540,2,0,0,0,7171,0,0
1769105316.000429,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105316.002989,127.0.0.1,127.0.0.1,540,2,0,0,0,35402,0,0
1769105316.003036,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105316.006346,127.0.0.1,127.0.0.1,540,2,0,0,0,35889,0,0
1769105316.006362,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105316.008617,127.0.0.1,127.0.0.1,540,2,0,0,0,43566,0,0
1769105316.008642,127.0.0.1,127.0.0.1,568,3,0,0,128,0,0,0
1769105316.011042,127.0.0.1,127.0.0.1,540,2,0,0,0,38225,0,0
